Radar_Type,Azimuth,Elevation,Range,Speed,RCS,Power,Noise,Threat_Type,Attack_Severity
Back,0.004864,0.030609,120.892,-7.87,890.468,142.167,102.212,Normal,None
Front,-0.100645,-0.034416,76.417,17.704,496.505,115.359,103.652,Normal,None
Back,-0.143613,-0.097574,146.331,2.237,823.155,156.466,116.607,Normal,None
Back,-0.205448,-0.081232,119.565,39.081,213.24,137.404,115.068,Normal,None
Front,-0.172756,-0.000226,177.454,25.14,387.989,133.362,112.524,Normal,None
Front,0.215147,-0.005026,88.369,-3.639,707.368,141.862,106.209,Normal,None
Back,-0.257428,-0.005523,70.44,14.833,724.825,159.024,118.058,Normal,None
Front,0.222416,0.093588,20.067,19.498,28.441,115.336,117.855,Normal,None
Front,0.083085,-0.079838,36.138,15.699,573.11,149.858,109.476,Normal,None
Back,0.07524,0.011587,181.75,4.822,3.632,125.653,111.33,Normal,None
Front,0.115992,0.046589,39.595,6.277,522.706,138.423,115.213,Normal,None
Back,0.000756,-0.045994,138.972,7.107,909.33,116.88,106.282,Normal,None
Back,0.068062,0.006808,20.474,2.171,217.84,154.843,115.876,Normal,None
Front,0.010193,-0.040805,121.69,19.102,87.621,146.0,102.112,Normal,None
Back,-0.180703,-0.003808,65.505,10.319,793.573,114.041,118.455,Normal,None
Back,-0.268697,0.011091,65.565,20.187,902.559,148.335,108.415,Normal,None
Front,0.029138,-0.008423,60.043,-7.059,431.359,134.792,119.916,Normal,None
Back,-0.155251,-0.093047,97.576,-6.13,773.387,137.397,115.715,Normal,None
Back,-0.142485,0.085348,139.093,29.524,150.551,135.543,101.827,Normal,None
Front,-0.24659,-0.067991,133.926,8.229,874.651,104.494,101.791,Normal,None
Front,-0.004683,0.025477,105.285,16.298,152.019,130.842,100.735,Normal,None
Front,0.25949,0.090368,137.649,20.499,485.912,108.904,115.752,Normal,None
Front,-0.288935,-0.022497,102.047,14.338,659.675,149.611,111.835,Normal,None
Back,0.138332,-0.043347,30.348,-0.488,658.528,155.866,108.469,Normal,None
Front,0.163746,0.080555,89.503,36.474,84.951,118.405,102.684,Normal,None
Back,0.04572,-0.002683,24.231,8.199,806.529,142.65,108.232,Normal,None
Front,0.157339,-0.049336,23.118,5.078,447.404,112.838,115.616,Normal,None
Front,-0.112207,0.084492,23.278,-8.144,936.097,124.651,112.055,Normal,None
Front,0.292627,0.09747,73.494,13.464,993.281,110.878,110.749,Normal,None
Back,0.040159,0.080519,43.66,27.893,144.761,140.504,104.817,Normal,None
Front,-0.082967,0.039111,66.546,10.696,390.564,156.633,116.89,Normal,None
Front,0.00393,0.020692,153.784,20.618,274.96,128.643,113.591,Normal,None
Front,0.275903,0.084887,190.167,39.717,963.221,127.042,111.006,Normal,None
Back,0.004483,-0.040962,108.906,26.148,314.325,105.724,100.553,Normal,None
Front,-0.089994,0.097363,137.623,-5.608,361.431,154.812,109.031,Normal,None
Back,0.210476,-0.063007,81.623,38.003,833.812,149.591,106.255,Normal,None
Back,-0.219552,0.04627,68.772,11.277,34.237,114.554,119.372,Normal,None
Front,0.264503,-0.083434,154.198,7.676,670.285,147.589,108.313,Normal,None
Front,0.012896,0.0245,78.578,27.884,29.635,131.781,107.291,Normal,None
Back,0.152815,0.050622,63.444,16.837,354.117,120.283,110.279,Normal,None
Back,-0.005226,0.074566,40.701,17.637,430.404,114.621,106.818,Normal,None
Back,-0.065152,0.097165,72.537,14.132,132.408,114.69,103.283,Normal,None
Front,0.140133,0.057808,74.3,28.639,985.446,154.156,117.707,Normal,None
Back,-0.174758,-0.088476,37.328,-9.789,99.343,155.153,104.585,Normal,None
Back,0.186521,-0.089084,62.514,22.938,186.413,147.668,112.566,Normal,None
Back,-0.076312,-0.049093,185.253,26.288,909.0,114.893,106.525,Normal,None
Back,-0.281772,-0.091695,43.234,-4.462,135.608,128.997,118.193,Normal,None
Back,0.111101,-0.065515,102.7,27.4,834.226,122.322,116.314,Normal,None
Front,-0.228794,-0.028106,167.362,22.775,34.82,147.73,107.351,Normal,None
Front,-0.054869,-0.04687,181.247,28.403,435.703,119.444,119.711,Normal,None
Back,-0.066459,-0.090431,172.236,13.742,261.355,108.538,110.997,Normal,None
Front,0.162783,0.057683,135.179,27.41,619.293,112.88,102.361,Normal,None
Back,-0.02486,-0.088152,142.676,33.538,752.393,155.555,117.32,Normal,None
Back,0.140012,0.031168,31.191,34.041,713.22,151.552,109.614,Normal,None
Back,-0.149369,-0.03688,144.704,21.958,333.361,123.997,105.789,Normal,None
Front,-0.119439,0.030539,143.635,23.214,831.233,147.738,105.131,Normal,None
Front,-0.059072,0.083306,36.71,38.192,549.399,104.036,101.067,Normal,None
Front,0.159287,0.095156,77.599,-1.697,446.741,117.08,108.688,Normal,None
Back,-0.138846,-0.074096,165.175,13.194,269.905,103.364,109.628,Normal,None
Front,-0.194966,-0.07958,181.111,-5.639,879.789,118.095,106.302,Normal,None
Back,-0.287837,0.071271,99.703,13.339,668.58,140.36,116.452,Normal,None
Back,-0.23848,0.028824,196.807,26.06,907.245,157.785,117.142,Normal,None
Back,0.203731,0.064754,22.855,28.987,522.957,132.224,113.252,Normal,None
Back,0.177332,0.031307,196.874,-9.141,551.911,127.546,110.498,Normal,None
Front,-0.006975,-0.006102,96.296,30.148,531.196,151.274,102.893,Normal,None
Back,0.278073,-0.024033,22.795,21.617,45.582,136.292,100.705,Normal,None
Front,0.125689,0.070298,114.534,-3.976,580.699,151.2,110.322,Normal,None
Back,0.234731,0.072948,177.376,10.762,205.043,159.401,106.302,Normal,None
Back,0.195068,0.091936,48.03,-7.443,671.424,137.755,103.126,Normal,None
Front,0.243814,0.090618,31.218,6.03,531.614,120.072,106.984,Normal,None
Front,0.208503,0.097113,28.649,-9.429,482.772,127.931,108.068,Normal,None
Front,-0.180074,0.096022,36.69,13.805,465.862,139.19,116.257,Normal,None
Back,-0.153456,0.057909,25.359,6.729,67.371,122.668,108.841,Normal,None
Front,-0.254183,-0.095863,164.776,23.848,157.206,123.61,106.918,Normal,None
Back,-0.11434,0.060397,55.523,15.447,290.245,112.369,112.698,Normal,None
Back,0.198584,-0.068342,57.864,30.772,536.79,112.684,118.735,Normal,None
Back,0.199808,-0.015837,106.173,20.283,696.909,146.97,107.867,Normal,None
Back,-0.108819,0.088265,41.074,-1.37,523.905,158.47,108.849,Normal,None
Back,0.2278,0.06495,52.431,17.786,206.02,147.988,119.223,Normal,None
Back,-0.103202,0.051221,165.047,3.157,988.092,126.411,108.324,Normal,None
Front,-0.15015,-0.083973,145.1,-5.683,364.983,111.458,106.513,Normal,None
Back,0.213962,-0.046482,72.568,16.112,346.735,116.976,106.491,Normal,None
Back,-0.114854,0.045507,181.759,30.038,177.199,105.707,114.243,Normal,None
Front,0.018035,-0.067817,129.408,-2.538,140.74,135.333,117.143,Normal,None
Front,0.110395,-0.099839,104.516,30.627,676.399,141.013,117.137,Normal,None
Back,0.010862,-0.030048,76.029,1.668,245.563,104.279,102.539,Normal,None
Front,0.100447,0.067605,192.8,23.612,675.088,153.572,103.549,Normal,None
Front,-0.147673,0.019386,36.861,33.891,236.099,108.757,114.901,Normal,None
Back,-0.038434,-0.006203,112.733,-3.104,268.966,137.307,103.307,Normal,None
Back,0.226896,-0.01371,59.756,12.222,377.831,112.584,118.179,Normal,None
Back,0.298346,0.007951,179.556,-1.864,536.392,140.432,119.317,Normal,None
Back,-0.032772,-0.068238,53.609,35.465,861.353,138.261,117.941,Normal,None
Back,-0.009466,-0.040389,140.026,0.86,256.802,121.531,101.577,Normal,None
Back,0.18277,0.083334,161.413,16.061,463.602,102.79,118.477,Normal,None
Back,0.259484,-0.058403,123.898,32.329,136.633,119.797,114.727,Normal,None
Back,-0.271382,-0.096786,100.831,6.84,539.967,127.919,106.663,Normal,None
Back,-0.170026,-0.064716,175.834,27.115,329.344,154.175,111.238,Normal,None
Front,-0.079035,-0.075948,171.415,7.665,766.252,137.603,112.068,Normal,None
Front,-0.170713,0.023499,76.614,39.019,901.07,135.739,109.263,Normal,None
Back,0.111449,0.044673,195.097,-8.697,747.459,132.995,105.338,Normal,None
Front,-0.086324,-0.048997,54.204,12.808,630.936,112.312,101.859,Normal,None
Back,-0.231817,0.035202,56.433,32.89,554.72,142.777,109.501,Normal,None
Front,-0.010144,0.042994,83.666,39.602,465.941,140.273,103.639,Normal,None
Back,-0.022539,-0.082925,160.83,30.5,133.929,102.499,111.688,Normal,None
Back,0.085999,0.057264,192.981,15.063,261.746,111.771,118.16,Normal,None
Back,0.229418,0.055856,79.478,32.104,859.812,146.726,119.308,Normal,None
Back,0.131757,-0.046274,196.746,7.028,923.584,145.143,114.98,Normal,None
Front,-0.289706,0.083644,181.765,2.482,804.21,110.962,104.807,Normal,None
Front,0.249603,-0.048752,28.461,-3.82,12.689,127.344,103.827,Normal,None
Back,0.140902,-0.042693,32.469,-1.256,587.252,117.267,119.789,Normal,None
Front,0.101386,-0.033936,193.324,20.616,610.637,119.423,112.404,Normal,None
Front,-0.189331,0.029928,191.464,38.3,996.024,143.428,105.328,Normal,None
Front,-0.237679,0.068152,147.977,28.431,916.028,127.202,103.906,Normal,None
Back,-0.283488,0.002984,130.875,31.911,269.271,149.781,119.089,Normal,None
Back,-0.061133,-0.018671,133.77,24.045,536.452,111.506,103.343,Normal,None
Back,-0.11916,0.056927,92.966,16.494,491.555,109.211,119.086,Normal,None
Front,0.046055,-0.095164,164.229,0.719,878.097,140.444,108.754,Normal,None
Back,-0.267118,-0.085623,104.561,24.834,514.795,135.164,109.031,Normal,None
Front,-0.237843,-0.065956,166.575,6.332,813.963,120.239,102.188,Normal,None
Front,0.295906,-0.00036,166.476,10.334,168.662,144.805,118.601,Normal,None
Back,-0.136607,0.092573,92.807,35.475,893.825,133.065,106.16,Normal,None
Back,0.119479,-0.070798,152.686,-5.841,752.748,104.574,105.059,Normal,None
Back,-0.292929,-0.011574,53.667,13.43,252.856,150.162,112.46,Normal,None
Front,0.127269,-0.075837,99.145,37.64,195.905,121.608,104.593,Normal,None
Back,0.214591,0.057426,29.524,1.229,256.917,152.637,100.091,Normal,None
Back,0.177751,0.023675,154.193,-7.105,225.024,150.143,101.762,Normal,None
Front,0.012847,-0.018641,126.201,36.617,311.797,129.89,102.758,Normal,None
Front,0.143258,-0.012022,113.581,4.558,563.366,123.717,106.594,Normal,None
Back,0.117052,-0.030058,83.961,14.752,801.214,117.674,110.097,Normal,None
Front,-0.110096,-0.009696,178.615,18.465,90.705,153.089,107.343,Normal,None
Back,0.0571,0.005145,124.457,13.055,394.684,106.509,102.945,Normal,None
Back,-0.102633,0.074622,124.631,22.574,732.546,158.18,107.468,Normal,None
Front,-0.180716,0.07698,59.355,0.04,994.11,142.936,107.703,Normal,None
Front,-0.005723,-0.045269,69.985,-4.247,354.391,159.574,114.25,Normal,None
Back,-0.064403,0.009938,57.961,18.954,466.873,106.065,111.537,Normal,None
Front,0.22043,0.02838,163.516,17.827,463.006,104.437,119.72,Normal,None
Front,0.299598,0.047541,55.904,35.739,573.937,132.73,118.519,Normal,None
Back,-0.171679,0.016906,167.419,37.263,310.638,130.488,112.532,Normal,None
Front,-0.236082,-0.035246,115.194,30.203,571.196,134.03,111.383,Normal,None
Back,0.189675,-0.00139,136.436,24.091,379.996,101.865,106.288,Normal,None
Back,-0.244936,0.08725,178.347,38.882,597.971,158.696,105.41,Normal,None
Front,0.064231,0.02948,91.628,3.262,264.638,107.868,109.831,Normal,None
Back,0.202797,0.028189,21.986,35.175,762.888,148.182,114.11,Normal,None
Back,0.033675,-0.022979,83.114,26.601,786.164,141.942,105.734,Normal,None
Back,-0.181778,0.057833,131.504,33.821,394.107,110.77,101.674,Normal,None
Back,-0.171106,-0.029282,62.838,27.006,367.303,123.24,101.317,Normal,None
Front,0.107554,-0.02642,130.546,1.041,41.428,111.399,119.641,Normal,None
Front,-0.213644,0.052062,112.918,23.853,204.801,148.042,111.041,Normal,None
Back,-0.009492,0.062391,104.904,10.475,489.21,137.969,119.992,Normal,None
Front,-0.090715,0.002693,133.336,37.674,646.811,142.147,101.242,Normal,None
Back,-0.142719,-0.018449,145.792,7.039,593.606,127.659,107.708,Normal,None
Back,-0.145187,-0.039952,124.783,-0.289,978.101,112.43,101.962,Normal,None
Back,0.288846,-0.045747,108.924,35.887,465.423,125.182,119.722,Normal,None
Back,0.235006,0.035651,86.678,-8.303,367.684,142.48,107.237,Normal,None
Back,-0.281475,-0.077358,156.253,32.59,420.665,120.834,115.012,Normal,None
Front,-0.173671,0.031998,88.357,10.154,586.5,147.173,111.221,Normal,None
Back,0.236505,-0.073828,190.592,34.652,83.193,151.001,110.939,Normal,None
Back,0.135391,-0.049482,192.298,22.096,522.017,144.768,106.658,Normal,None
Front,0.007154,-0.064594,35.914,32.488,452.655,129.907,100.644,Normal,None
Back,-0.233708,-0.089136,143.912,17.105,97.467,121.522,102.877,Normal,None
Back,-0.2728,-0.072552,109.969,12.731,998.452,121.888,109.201,Normal,None
Back,0.268902,-0.063056,54.737,18.031,828.886,116.992,112.0,Normal,None
Front,-0.215399,0.042171,68.825,0.549,462.471,124.126,108.719,Normal,None
Front,-0.068172,0.043248,125.345,17.677,599.671,149.879,112.331,Normal,None
Back,-0.032156,-0.004067,22.038,14.631,864.773,156.581,110.757,Normal,None
Back,-0.033465,0.089617,47.884,15.63,657.211,146.908,107.132,Normal,None
Front,0.126912,0.093599,64.468,12.695,445.179,148.2,105.185,Normal,None
Back,0.067012,-0.021255,163.711,19.904,473.324,106.335,102.234,Normal,None
Front,0.250357,-0.072355,152.917,14.719,301.76,150.707,111.261,Normal,None
Back,-0.244979,-0.096668,48.326,-3.245,393.683,104.745,107.127,Normal,None
Back,0.023606,0.067359,131.587,23.264,863.283,117.833,109.629,Normal,None
Back,0.142156,-0.053786,148.155,31.861,543.268,155.595,110.048,Normal,None
Front,-0.137959,0.091883,113.109,33.272,769.491,113.784,118.58,Normal,None
Front,-0.0158,0.088661,103.362,23.773,612.769,134.255,113.664,Normal,None
Back,-0.180973,-0.098656,135.592,-8.025,675.575,143.981,103.056,Normal,None
Front,-0.159438,-0.029389,117.064,25.874,958.21,110.678,116.453,Normal,None
Front,0.009357,0.02399,54.196,33.967,427.96,142.601,118.425,Normal,None
Back,0.1609,0.088334,177.357,-5.107,116.876,152.376,106.331,Normal,None
Back,-0.014455,0.012184,153.502,39.236,47.902,112.037,108.204,Normal,None
Front,-0.011372,-0.026186,39.345,32.429,685.364,124.116,114.923,Normal,None
Front,-0.239536,-0.030249,95.319,18.084,194.389,119.348,111.868,Normal,None
Front,-0.243001,0.054646,26.822,-8.121,370.049,143.421,107.891,Normal,None
Front,0.276468,0.096172,169.557,-6.935,165.04,104.638,118.99,Normal,None
Back,0.262084,0.014044,177.823,31.03,464.579,103.08,116.869,Normal,None
Back,-0.266188,0.004842,141.115,-5.557,446.217,158.453,100.16,Normal,None
Front,0.263574,-0.052122,150.88,-0.02,851.706,150.524,100.746,Normal,None
Back,0.012994,-0.03629,161.1,26.817,207.018,144.749,115.468,Normal,None
Back,-0.223536,0.014431,141.383,39.305,73.734,133.408,117.78,Normal,None
Front,-0.074562,-0.099293,109.991,-9.968,17.395,148.096,113.014,Normal,None
Back,0.101596,0.039313,75.099,38.258,16.427,138.792,117.78,Normal,None
Back,-0.129297,-0.084358,28.207,24.655,910.503,111.573,104.236,Normal,None
Front,-0.110482,-0.0937,145.337,-7.58,658.974,147.998,100.132,Normal,None
Front,-0.28998,-0.038846,140.354,-4.077,512.412,133.309,106.329,Normal,None
Back,-0.271144,-0.095406,190.799,1.409,941.527,133.506,104.942,Normal,None
Back,0.034836,0.09995,36.68,-6.293,163.506,111.98,102.644,Normal,None
Back,-0.019603,0.075126,133.21,-1.526,824.465,130.494,106.116,Normal,None
Front,-0.094004,-0.092014,196.617,25.323,344.758,134.34,118.14,Normal,None
Back,-0.116846,-0.031001,110.9,2.979,32.339,141.29,102.674,Normal,None
Back,0.28333,-0.050031,82.899,24.488,635.975,105.988,116.011,Normal,None
Back,0.167578,-0.099433,132.357,4.006,649.37,153.39,100.702,Normal,None
Front,-0.171415,-0.043699,121.784,-0.016,678.135,154.731,114.769,Normal,None
Front,0.081693,-0.082864,58.728,-3.9,875.67,134.65,118.848,Normal,None
Front,0.244092,0.087439,193.299,14.469,183.65,158.804,114.955,Normal,None
Back,0.122395,-0.06923,148.112,38.625,683.13,152.935,101.541,Normal,None
Back,-0.081553,0.057477,148.492,-2.258,682.678,156.471,102.784,Normal,None
Front,0.071387,-0.019768,63.26,-5.768,235.853,100.748,113.527,Normal,None
Back,0.106188,0.024289,23.02,38.838,444.183,129.108,115.957,Normal,None
Back,0.102551,0.086234,101.989,27.637,963.521,130.584,100.36,Normal,None
Front,-0.098985,-0.073907,81.95,11.527,657.145,116.367,111.746,Normal,None
Front,-0.01633,0.098709,177.276,15.161,505.207,122.282,112.497,Normal,None
Back,-0.298066,0.072474,171.073,34.057,209.782,106.695,104.304,Normal,None
Back,-0.186092,-0.049753,28.66,-9.982,500.965,104.815,117.982,Normal,None
Front,-0.212814,-0.0671,159.278,-7.472,868.271,134.98,117.919,Normal,None
Back,0.145563,-0.051871,85.324,12.062,737.829,152.337,107.914,Normal,None
Back,0.186492,0.068123,105.615,30.348,872.909,132.914,111.263,Normal,None
Front,0.230321,0.053089,55.506,-6.006,415.861,115.518,104.524,Normal,None
Back,0.030316,-0.091675,157.749,3.385,17.999,151.713,115.009,Normal,None
Back,0.198147,-0.088785,115.8,0.466,846.895,133.379,101.174,Normal,None
Front,-0.007451,-0.045069,21.979,17.013,690.141,116.042,110.54,Normal,None
Back,-0.20533,0.084778,119.561,2.668,295.437,141.029,112.361,Normal,None
Back,0.131004,0.070852,36.675,4.32,533.552,104.399,110.859,Normal,None
Front,0.168882,-0.032863,115.48,-6.67,901.151,109.598,117.414,Normal,None
Front,-0.187562,0.057269,120.87,38.787,367.221,103.244,118.519,Normal,None
Back,0.14607,0.002168,42.711,-1.804,134.393,159.825,103.292,Normal,None
Back,-0.252751,0.013323,118.343,19.406,759.863,108.155,108.792,Normal,None
Front,0.233885,0.003581,97.065,9.048,980.221,115.57,104.785,Normal,None
Back,-0.290203,0.072271,100.589,22.793,725.551,106.402,103.692,Normal,None
Front,-0.032272,0.083298,102.027,27.822,198.081,151.68,119.72,Normal,None
Back,0.172873,-0.002776,82.226,18.01,834.287,129.29,110.969,Normal,None
Back,0.234803,-0.071348,126.275,1.194,883.929,103.258,114.386,Normal,None
Front,-0.186429,0.062688,101.482,23.223,421.659,150.269,105.469,Normal,None
Back,0.012378,-0.071705,103.185,-9.841,686.398,124.972,109.749,Normal,None
Back,-0.292872,-0.069201,171.741,2.529,181.685,126.286,100.485,Normal,None
Back,0.251876,-0.020784,72.117,14.866,359.386,138.625,100.133,Normal,None
Front,-0.001191,-0.001368,178.562,34.702,369.342,101.168,119.777,Normal,None
Front,-0.06179,0.086428,112.352,-2.808,796.029,134.202,101.644,Normal,None
Back,-0.069219,-0.089499,85.875,21.854,148.077,127.191,114.766,Normal,None
Front,0.065017,-0.070553,53.337,3.236,993.917,145.794,113.519,Normal,None
Back,0.132582,-0.07605,90.169,13.919,79.443,106.74,105.452,Normal,None
Front,-0.154703,-0.006303,38.163,-2.558,954.5,151.719,107.943,Normal,None
Back,0.051968,-0.024005,191.883,25.67,937.356,100.369,102.338,Normal,None
Front,-0.08839,0.039452,90.946,33.387,102.653,110.931,112.835,Normal,None
Back,0.083639,-0.060296,184.481,37.791,277.761,129.469,105.119,Normal,None
Back,0.229393,-0.056871,196.845,13.536,555.569,142.776,106.483,Normal,None
Front,-0.241333,0.015101,86.959,-9.527,486.356,109.563,118.935,Normal,None
Back,0.126689,-0.083191,82.574,21.313,863.581,125.915,100.248,Normal,None
Front,0.292386,-0.022303,40.002,22.359,131.887,139.252,108.67,Normal,None
Back,0.26764,-0.030541,199.292,-9.106,9.889,142.276,116.489,Normal,None
Back,0.214376,-0.049114,93.584,-6.572,364.305,117.651,101.263,Normal,None
Front,0.004127,0.003454,118.935,4.405,474.692,156.863,118.758,Normal,None
Front,0.0791,-0.004255,177.696,31.767,658.545,134.864,104.212,Normal,None
Front,0.122801,-0.048809,53.194,35.124,379.514,132.213,110.422,Normal,None
Front,0.13825,-0.026976,125.233,-8.98,394.724,159.346,118.523,Normal,None
Front,-0.151755,-0.063712,191.128,31.193,740.674,108.441,103.351,Normal,None
Front,-0.245878,0.027232,44.984,0.095,391.24,146.046,102.715,Normal,None
Front,-0.260332,0.065936,104.125,19.509,236.201,118.625,104.567,Normal,None
Front,0.140139,-0.005337,21.689,25.159,467.39,159.48,104.743,Normal,None
Front,0.171166,-0.047251,195.783,11.652,484.11,143.035,118.951,Normal,None
Back,0.197662,-0.073959,150.464,14.137,779.239,121.13,100.799,Normal,None
Front,-0.224408,-0.041453,185.357,26.477,197.802,154.308,114.571,Normal,None
Front,0.039376,-0.041849,159.073,31.918,940.851,115.903,110.077,Normal,None
Front,-0.050969,-0.077533,160.307,20.376,222.901,134.432,118.177,Normal,None
Front,0.073237,0.027524,61.37,6.12,542.022,101.417,100.19,Normal,None
Back,0.093408,0.071082,144.22,39.585,937.537,121.783,115.565,Normal,None
Back,0.24469,0.029674,77.93,13.026,110.089,139.347,109.624,Normal,None
Front,0.044102,0.03336,28.448,2.545,802.269,144.218,118.115,Normal,None
Back,-0.053626,0.065914,198.751,-8.237,166.396,145.432,104.365,Normal,None
Back,-0.071677,0.052442,49.123,2.19,146.818,106.381,113.107,Normal,None
Front,0.043532,0.000547,111.18,33.911,451.926,128.563,118.395,Normal,None
Back,0.141132,-0.033307,40.836,9.064,779.724,109.089,111.504,Normal,None
Front,0.278626,-0.08637,151.49,30.067,128.36,122.011,115.453,Normal,None
Back,0.05578,-0.092299,31.722,15.401,278.907,128.715,109.41,Normal,None
Front,0.130372,-0.080867,21.733,12.972,541.781,139.613,103.42,Normal,None
Back,0.227063,0.032691,81.923,24.297,201.688,108.364,113.108,Normal,None
Front,0.093909,0.094133,122.179,20.98,553.914,131.811,117.293,Normal,None
Front,-0.072659,0.062112,191.993,26.838,994.264,156.438,106.937,Normal,None
Front,0.15643,0.073862,28.7,32.875,253.994,133.427,118.52,Normal,None
Back,-0.233056,-0.086437,135.778,-8.839,185.515,137.785,114.414,Normal,None
Front,0.140145,-0.080511,62.757,-6.119,195.793,119.199,109.03,Normal,None
Back,0.202081,-0.011501,85.995,23.85,949.32,149.619,116.215,Normal,None
Front,-0.025808,-0.06666,146.319,9.853,511.715,109.75,110.261,Normal,None
Back,0.181372,-0.085099,148.316,-4.284,142.38,105.183,108.063,Normal,None
Front,-0.256477,0.093273,94.671,9.381,809.824,147.986,115.442,Normal,None
Front,-0.205692,0.071042,67.005,14.449,430.122,159.713,117.68,Normal,None
Front,-0.050581,0.092862,86.005,29.369,120.926,146.166,102.264,Normal,None
Front,0.23818,0.061457,191.623,0.293,605.397,146.568,118.091,Normal,None
Back,-0.269312,-0.005014,170.165,-4.765,323.57,139.223,105.096,Normal,None
Front,-0.197982,0.060148,49.194,26.004,766.924,135.958,102.043,Normal,None
Back,0.269679,0.082165,74.474,25.767,129.239,124.217,106.02,Normal,None
Front,-0.121061,-0.057009,80.858,13.731,341.219,118.283,108.238,Normal,None
Front,-0.026283,0.034202,162.472,9.918,218.686,128.489,114.781,Normal,None
Back,-0.01912,0.040889,197.265,33.319,116.555,153.978,118.994,Normal,None
Front,0.198088,0.070505,171.383,1.699,872.868,156.018,104.43,Normal,None
Front,-0.019662,-0.076619,58.403,11.593,293.956,118.472,108.18,Normal,None
Front,-0.114181,0.085148,130.676,1.221,737.287,113.704,100.196,Normal,None
Front,-0.039357,0.036404,110.391,32.09,536.345,139.395,114.699,Normal,None
Front,0.08789,0.08141,74.817,18.114,10.846,132.402,101.47,Normal,None
Front,0.292667,0.095983,50.336,36.495,508.708,112.863,103.967,Normal,None
Back,0.120606,0.012387,177.51,19.896,950.506,151.637,101.646,Normal,None
Front,0.075019,-0.024385,77.26,6.132,728.897,120.391,112.597,Normal,None
Back,-0.196226,0.05315,45.036,17.166,117.763,116.227,104.384,Normal,None
Front,0.096451,0.031323,115.857,33.909,517.689,157.924,112.489,Normal,None
Front,-0.093885,-0.078144,110.797,38.43,418.027,122.628,113.096,Normal,None
Front,-0.290236,0.022693,41.947,2.005,363.246,142.167,107.883,Normal,None
Back,-0.008089,0.071537,108.233,15.274,967.348,125.329,110.706,Normal,None
Front,0.123777,-0.05819,43.314,23.387,923.999,144.108,110.768,Normal,None
Back,0.219357,0.025126,124.844,34.425,773.703,120.376,100.306,Normal,None
Back,0.024406,-0.059546,49.518,-6.957,559.99,155.446,116.237,Normal,None
Back,-0.298123,0.089866,180.241,23.068,899.646,110.499,112.915,Normal,None
Back,0.162048,-0.040998,132.016,31.993,814.095,133.687,112.627,Normal,None
Back,-0.213691,0.023878,143.827,17.748,992.434,130.759,114.622,Normal,None
Back,0.110529,-0.063392,119.663,32.503,349.636,137.289,116.308,Normal,None
Back,0.023714,-0.000967,171.065,16.329,651.046,148.902,111.062,Normal,None
Front,-0.179758,-0.097701,120.906,29.081,194.027,105.432,106.239,Normal,None
Front,-0.224013,0.020736,58.689,21.369,460.389,156.266,107.699,Normal,None
Back,-0.175452,-0.053184,111.094,1.641,108.467,112.644,111.998,Normal,None
Back,0.189422,0.001653,78.624,21.695,673.741,127.656,118.489,Normal,None
Back,-0.270019,0.028895,109.863,9.311,759.19,134.129,109.741,Normal,None
Front,-0.279831,-0.016517,83.63,24.007,69.026,105.079,107.42,Normal,None
Back,-0.065449,-0.061139,54.896,1.572,251.844,106.473,109.214,Normal,None
Back,-0.205538,0.031749,92.123,22.304,898.573,127.872,112.684,Normal,None
Back,0.294601,0.096297,111.396,20.373,969.297,111.395,102.088,Normal,None
Back,-0.268569,-0.015562,24.352,37.945,205.038,148.491,119.939,Normal,None
Front,-0.214846,0.068937,167.925,33.5,418.017,122.882,103.623,Normal,None
Back,0.246606,-0.077811,196.684,23.081,298.06,158.283,107.342,Normal,None
Front,0.195209,0.063,25.474,8.284,62.646,133.671,112.793,Normal,None
Back,-0.209612,-0.077869,83.518,23.365,861.639,114.107,114.715,Normal,None
Back,0.283078,-0.07824,88.771,36.15,590.659,158.53,117.664,Normal,None
Front,0.208806,0.028424,181.65,33.539,989.958,125.862,110.801,Normal,None
Back,0.034169,-0.094074,194.233,0.551,444.017,109.51,114.833,Normal,None
Front,0.133957,0.064647,198.011,12.401,693.137,114.195,113.306,Normal,None
Front,-0.147562,0.039753,58.897,6.02,920.518,158.344,111.839,Normal,None
Back,0.034191,0.095894,162.606,17.418,123.426,110.986,100.833,Normal,None
Back,0.070332,0.067317,143.294,26.844,992.484,119.42,111.278,Normal,None
Front,-0.216028,0.026407,148.193,-8.448,805.964,113.636,104.995,Normal,None
Back,0.187533,-0.014752,175.614,10.733,576.061,158.872,112.901,Normal,None
Back,0.214466,0.008942,154.01,2.265,92.529,115.891,101.994,Normal,None
Front,-0.08408,-0.028256,147.626,38.74,159.683,144.661,108.917,Normal,None
Back,0.131437,-0.007239,194.707,-0.842,756.937,109.638,115.519,Normal,None
Front,0.212717,-0.079031,140.907,10.101,705.881,124.455,113.602,Normal,None
Front,0.021299,-0.052309,169.669,4.853,745.498,143.168,118.171,Normal,None
Front,0.136989,-0.083806,31.932,39.116,234.201,157.93,104.841,Normal,None
Front,-0.249979,-0.009685,93.876,21.847,175.538,123.656,104.259,Normal,None
Front,0.090593,-0.092445,179.802,18.081,47.178,153.244,116.383,Normal,None
Front,-0.106211,0.070386,100.844,14.039,662.952,154.102,114.911,Normal,None
Front,0.19266,0.055351,36.745,-2.84,541.219,140.923,119.458,Normal,None
Front,0.232339,-0.009574,77.083,1.404,255.126,112.482,110.098,Normal,None
