Throttle_Position,Brake_Pressure,Steering_Angle,Vehicle_Speed,Gear_Position,Threat_Type,Attack_Severity
21.76,151.47,23.99,6.4,R,Normal,None
69.03,113.34,12.08,24.49,P,Normal,None
31.57,172.78,-26.22,7.7,R,Normal,None
42.5,44.05,22.88,22.36,D,Normal,None
58.58,293.83,-14.61,19.91,N,Normal,None
58.65,428.48,21.99,12.85,N,Normal,None
76.71,50.68,5.65,12.74,P,Normal,None
5.72,365.7,-16.9,0.6,N,Normal,None
24.74,334.84,16.07,22.07,R,Normal,None
40.4,405.94,10.0,4.95,D,Normal,None
56.74,43.78,-15.5,5.62,D,Normal,None
23.2,345.73,22.56,0.6,N,Normal,None
14.04,166.33,-12.2,15.41,P,Normal,None
4.07,213.3,21.68,14.25,P,Normal,None
92.05,86.58,-24.02,23.19,P,Normal,None
98.52,485.31,-14.58,27.82,R,Normal,None
72.01,254.87,-28.9,18.9,R,Normal,None
20.15,443.43,-18.84,20.68,P,Normal,None
74.94,11.95,0.86,20.95,R,Normal,None
24.94,398.54,-14.49,4.32,R,Normal,None
31.17,33.19,-12.48,27.44,R,Normal,None
25.65,20.32,24.44,13.71,N,Normal,None
72.22,409.82,-12.26,4.98,N,Normal,None
37.85,97.76,0.4,25.96,D,Normal,None
19.54,228.01,27.68,20.12,R,Normal,None
60.82,445.12,-6.42,13.88,P,Normal,None
23.01,468.06,-2.07,23.02,R,Normal,None
58.95,205.45,-21.63,13.9,P,Normal,None
52.13,25.87,-0.96,19.65,N,Normal,None
35.53,279.59,18.29,10.24,R,Normal,None
21.46,204.04,13.83,4.18,R,Normal,None
91.6,470.2,11.98,18.76,P,Normal,None
76.78,237.34,-17.2,7.01,D,Normal,None
91.19,368.0,-1.28,1.15,N,Normal,None
27.83,30.19,13.91,20.99,N,Normal,None
90.76,363.64,-12.08,1.66,N,Normal,None
77.27,145.0,12.78,13.42,P,Normal,None
43.16,25.45,-25.58,11.06,D,Normal,None
93.74,162.04,2.41,16.69,R,Normal,None
20.15,343.32,-20.45,0.4,R,Normal,None
82.49,269.85,-0.66,9.67,R,Normal,None
63.38,224.99,-1.07,0.73,R,Normal,None
51.83,33.07,-29.5,8.05,N,Normal,None
40.02,125.33,-16.45,29.04,R,Normal,None
33.29,282.89,-20.37,3.15,R,Normal,None
59.39,19.11,-5.68,28.09,D,Normal,None
8.88,276.29,27.97,19.84,R,Normal,None
28.17,125.65,6.86,6.81,N,Normal,None
42.19,187.31,-12.72,8.29,N,Normal,None
16.2,191.58,-10.05,6.95,R,Normal,None
74.45,219.67,4.29,27.1,N,Normal,None
74.53,271.06,28.8,25.11,R,Normal,None
70.33,450.88,-19.74,9.65,P,Normal,None
19.92,462.82,14.6,7.88,P,Normal,None
31.89,126.1,-25.48,26.95,N,Normal,None
21.62,405.35,-12.98,28.64,D,Normal,None
82.48,183.25,24.36,29.27,N,Normal,None
15.1,471.63,-13.75,26.72,P,Normal,None
40.97,142.11,-20.73,16.27,R,Normal,None
80.0,78.08,-10.93,19.53,P,Normal,None
77.05,434.73,22.13,18.12,R,Normal,None
84.31,428.1,-27.87,7.24,P,Normal,None
93.43,129.34,4.58,13.31,D,Normal,None
16.71,310.44,27.73,5.75,D,Normal,None
78.05,351.18,-17.68,4.49,P,Normal,None
91.34,427.97,29.22,8.88,D,Normal,None
85.24,52.08,1.36,27.79,P,Normal,None
69.32,381.0,-12.91,2.59,P,Normal,None
22.97,383.61,11.6,8.74,N,Normal,None
16.3,401.22,10.99,12.94,R,Normal,None
78.16,363.37,22.04,25.99,D,Normal,None
57.8,197.71,-15.42,1.98,R,Normal,None
18.01,196.86,-19.18,29.26,N,Normal,None
39.35,158.19,-29.11,3.52,N,Normal,None
40.06,234.96,23.17,17.23,P,Normal,None
44.21,230.33,14.46,22.5,R,Normal,None
22.74,9.27,-2.05,1.51,P,Normal,None
78.97,4.2,-2.56,9.86,N,Normal,None
2.21,324.87,-25.72,13.48,N,Normal,None
46.22,173.21,-0.76,27.59,N,Normal,None
68.82,50.32,19.46,15.64,R,Normal,None
84.53,485.14,-24.24,13.36,P,Normal,None
90.67,263.93,-22.25,28.17,D,Normal,None
87.88,277.08,22.38,20.66,D,Normal,None
0.7,438.29,-21.5,25.87,R,Normal,None
1.79,432.96,21.39,27.74,P,Normal,None
82.85,318.26,-22.3,5.23,P,Normal,None
3.55,165.95,-7.59,10.22,P,Normal,None
65.88,105.93,18.58,18.09,P,Normal,None
17.83,288.98,6.71,2.76,R,Normal,None
82.89,196.81,20.93,13.15,D,Normal,None
44.72,281.8,-6.4,23.3,D,Normal,None
12.28,165.62,-1.39,0.76,P,Normal,None
90.43,387.75,23.99,2.05,D,Normal,None
61.09,311.09,12.45,26.03,D,Normal,None
11.4,459.09,26.55,26.67,D,Normal,None
70.86,180.25,1.09,7.97,N,Normal,None
87.18,397.73,-15.67,22.95,D,Normal,None
5.91,142.43,11.05,25.85,D,Normal,None
4.31,378.81,-8.37,25.21,N,Normal,None
0.44,262.18,-15.28,8.35,P,Normal,None
92.06,497.53,-5.89,4.71,D,Normal,None
21.41,356.98,-3.93,18.92,D,Normal,None
71.33,3.89,27.78,11.19,P,Normal,None
11.69,307.49,25.73,0.47,N,Normal,None
77.91,334.72,0.75,5.67,D,Normal,None
49.43,403.85,13.38,25.82,D,Normal,None
66.25,95.14,27.98,13.9,P,Normal,None
13.17,490.05,-18.16,28.1,P,Normal,None
83.77,82.9,-5.98,27.85,R,Normal,None
8.38,275.94,-24.33,14.79,R,Normal,None
38.24,17.21,-16.7,8.86,D,Normal,None
73.08,194.6,-21.02,4.02,P,Normal,None
64.71,430.45,6.4,2.74,D,Normal,None
8.44,220.01,21.94,8.73,N,Normal,None
1.97,116.74,11.93,20.89,R,Normal,None
60.08,318.24,-1.76,16.32,D,Normal,None
59.65,466.26,1.99,27.62,D,Normal,None
43.16,255.31,6.11,20.72,R,Normal,None
13.97,319.35,27.13,12.94,N,Normal,None
58.43,330.65,-0.8,14.07,N,Normal,None
15.81,254.4,-2.46,24.98,R,Normal,None
70.02,239.51,-26.07,9.31,P,Normal,None
78.83,297.39,-29.57,4.64,R,Normal,None
18.12,370.02,27.38,22.9,P,Normal,None
85.48,292.45,21.73,0.57,N,Normal,None
34.6,375.61,7.33,19.89,D,Normal,None
57.22,129.8,-13.07,10.34,R,Normal,None
97.96,166.52,-21.27,8.07,R,Normal,None
87.27,204.59,-0.87,24.78,P,Normal,None
13.67,499.25,-4.97,15.44,R,Normal,None
31.3,82.68,-0.38,15.64,D,Normal,None
32.06,245.59,13.87,19.77,P,Normal,None
37.87,15.24,-3.3,14.68,D,Normal,None
33.42,155.87,-14.0,19.2,D,Normal,None
82.39,402.05,29.13,5.88,D,Normal,None
9.8,429.29,-23.29,8.27,N,Normal,None
63.04,475.26,-0.6,17.13,P,Normal,None
8.82,299.04,-8.5,22.91,R,Normal,None
26.02,428.65,-8.31,28.76,P,Normal,None
99.73,423.95,-4.37,21.92,N,Normal,None
50.97,223.38,-7.03,19.13,P,Normal,None
87.44,459.01,28.3,20.13,N,Normal,None
56.94,416.14,28.78,13.83,D,Normal,None
1.65,406.73,6.23,15.28,R,Normal,None
71.53,413.78,21.66,1.72,N,Normal,None
67.57,388.59,27.19,17.85,N,Normal,None
53.86,20.07,20.98,4.46,D,Normal,None
15.31,267.2,-16.42,14.63,N,Normal,None
41.26,476.41,1.05,7.13,R,Normal,None
0.07,406.85,-2.12,5.23,N,Normal,None
80.54,65.39,7.57,29.81,N,Normal,None
83.39,155.98,2.72,28.25,D,Normal,None
56.09,264.83,-2.82,12.31,P,Normal,None
47.34,56.95,28.16,2.07,R,Normal,None
38.96,189.46,-26.96,2.05,N,Normal,None
7.03,67.8,-8.6,20.99,N,Normal,None
68.96,351.9,22.81,4.6,N,Normal,None
16.72,355.57,20.41,5.17,D,Normal,None
12.9,10.27,-16.28,3.9,P,Normal,None
0.75,415.53,-6.1,14.47,D,Normal,None
16.33,373.18,-4.98,13.83,D,Normal,None
59.37,384.45,-7.15,18.97,P,Normal,None
97.01,242.12,14.89,22.65,R,Normal,None
10.59,28.5,10.8,12.99,R,Normal,None
2.03,11.55,1.63,13.61,D,Normal,None
9.69,324.77,26.79,3.65,N,Normal,None
75.95,44.2,-17.59,15.64,D,Normal,None
70.08,5.9,-11.1,0.98,P,Normal,None
17.55,269.74,-3.11,20.54,D,Normal,None
56.66,53.83,23.06,27.76,P,Normal,None
19.58,58.91,-0.5,23.71,P,Normal,None
95.27,7.85,-9.96,21.23,N,Normal,None
56.15,219.88,-22.82,25.37,P,Normal,None
40.64,198.65,11.4,16.61,P,Normal,None
92.01,339.25,-21.94,24.64,P,Normal,None
56.72,26.71,-7.19,17.44,R,Normal,None
64.49,140.44,-11.43,0.56,P,Normal,None
23.26,383.47,-21.17,14.62,R,Normal,None
4.88,101.25,-9.94,3.75,N,Normal,None
74.05,485.99,25.54,9.86,D,Normal,None
7.06,335.96,6.37,16.11,N,Normal,None
81.73,231.65,-2.07,19.7,P,Normal,None
63.09,436.46,-25.57,4.83,D,Normal,None
1.05,382.29,-9.56,25.88,R,Normal,None
14.1,10.55,28.47,8.08,P,Normal,None
56.18,319.16,-8.93,11.41,R,Normal,None
78.01,37.78,18.94,15.11,P,Normal,None
97.38,180.2,2.36,5.59,N,Normal,None
96.32,401.01,-1.79,27.66,P,Normal,None
26.92,395.31,-8.97,3.47,P,Normal,None
21.48,208.1,-3.31,10.23,D,Normal,None
40.94,468.77,7.78,10.16,P,Normal,None
57.23,164.73,8.36,25.02,P,Normal,None
96.21,435.81,-3.28,3.73,D,Normal,None
42.4,398.33,26.57,2.88,P,Normal,None
45.66,108.07,0.91,7.44,N,Normal,None
11.04,253.64,-2.26,17.38,N,Normal,None
33.8,177.77,-27.25,15.72,D,Normal,None
92.23,283.76,16.34,22.15,R,Normal,None
18.55,472.5,-9.72,28.48,D,Normal,None
83.67,344.51,28.56,6.08,N,Normal,None
1.63,159.41,-9.19,18.01,R,Normal,None
19.07,280.67,-6.46,28.16,N,Normal,None
86.6,479.69,-23.2,15.41,P,Normal,None
37.19,411.54,14.76,18.77,D,Normal,None
27.26,13.68,-5.1,24.15,R,Normal,None
92.25,12.83,-28.1,4.49,N,Normal,None
73.26,425.28,-5.74,3.47,P,Normal,None
67.33,5.56,10.39,26.64,D,Normal,None
26.36,128.91,1.0,21.18,R,Normal,None
74.47,103.86,5.78,15.49,N,Normal,None
12.34,245.99,26.62,13.65,P,Normal,None
45.53,159.69,-21.3,28.0,N,Normal,None
70.57,75.43,12.59,21.92,P,Normal,None
23.33,256.03,19.2,21.22,N,Normal,None
0.64,85.23,-7.57,17.87,R,Normal,None
83.04,91.86,6.81,18.1,N,Normal,None
50.55,68.25,8.08,19.6,R,Normal,None
72.06,317.71,-22.27,17.58,P,Normal,None
29.5,499.45,-3.52,18.3,N,Normal,None
19.95,36.7,-28.3,27.79,R,Normal,None
49.17,463.58,-12.91,12.14,D,Normal,None
26.96,433.13,23.11,6.81,N,Normal,None
74.17,74.47,-0.5,17.44,P,Normal,None
89.89,71.43,24.49,14.81,P,Normal,None
54.4,246.23,1.22,24.71,N,Normal,None
74.54,238.53,2.2,0.45,R,Normal,None
36.53,453.58,16.12,25.19,P,Normal,None
66.23,432.4,0.14,25.81,R,Normal,None
98.32,32.8,-28.33,16.0,R,Normal,None
44.35,281.16,-12.95,1.7,N,Normal,None
30.95,97.25,27.0,2.24,N,Normal,None
28.02,162.02,-26.57,1.22,N,Normal,None
30.62,129.97,-6.67,15.15,R,Normal,None
67.38,140.08,11.27,24.18,P,Normal,None
51.62,218.77,-17.53,2.47,P,Normal,None
64.52,465.89,0.84,14.02,D,Normal,None
66.98,129.76,-19.27,4.17,N,Normal,None
78.47,4.87,-1.93,0.36,R,Normal,None
31.25,285.09,0.09,2.09,N,Normal,None
1.89,74.02,-8.79,21.97,R,Normal,None
6.28,213.12,-5.76,8.34,N,Normal,None
46.48,471.42,-2.83,22.25,D,Normal,None
11.43,233.6,-4.83,17.44,R,Normal,None
10.24,249.16,15.1,20.81,N,Normal,None
87.77,5.15,14.49,3.91,N,Normal,None
31.52,453.03,-3.41,27.09,R,Normal,None
4.04,153.44,-29.13,23.82,R,Normal,None
86.63,398.0,20.87,25.08,D,Normal,None
49.46,195.09,18.37,3.02,P,Normal,None
48.44,485.13,8.4,25.21,R,Normal,None
81.64,253.51,-17.11,15.14,R,Normal,None
63.51,106.34,-11.8,4.52,N,Normal,None
86.7,31.3,-17.11,24.32,N,Normal,None
39.02,113.49,6.79,0.56,N,Normal,None
51.8,229.74,7.85,14.29,N,Normal,None
18.56,482.39,-3.53,20.53,P,Normal,None
89.77,225.01,10.48,8.93,N,Normal,None
40.52,9.54,24.51,28.77,N,Normal,None
58.0,110.52,-6.26,9.56,N,Normal,None
8.68,491.5,-20.46,0.91,P,Normal,None
83.3,407.84,-5.15,25.47,N,Normal,None
42.56,143.2,-28.48,9.15,R,Normal,None
27.01,412.16,-17.86,4.84,D,Normal,None
1.31,365.29,-0.22,23.46,P,Normal,None
75.66,374.1,-11.58,24.06,P,Normal,None
16.31,244.77,-6.98,26.08,N,Normal,None
56.84,388.13,13.39,24.12,N,Normal,None
49.83,465.32,-24.67,1.26,R,Normal,None
18.46,413.16,11.84,20.67,R,Normal,None
43.55,380.99,0.82,27.94,N,Normal,None
85.11,483.42,20.32,18.69,D,Normal,None
94.53,187.54,25.97,13.64,D,Normal,None
64.75,129.8,0.66,11.59,R,Normal,None
63.58,417.92,-24.43,23.16,D,Normal,None
53.1,294.25,-18.55,16.96,N,Normal,None
99.47,451.82,12.08,18.94,R,Normal,None
68.81,337.02,-6.9,3.56,N,Normal,None
56.89,171.99,3.54,28.53,P,Normal,None
87.2,431.33,29.65,21.17,N,Normal,None
89.74,41.85,-25.88,23.63,R,Normal,None
59.47,282.26,15.08,20.11,R,Normal,None
60.37,154.98,15.92,8.44,D,Normal,None
10.3,454.62,-10.27,2.73,N,Normal,None
24.04,14.52,11.83,14.58,D,Normal,None
50.07,147.18,1.65,28.63,N,Normal,None
37.06,255.57,-12.6,20.58,N,Normal,None
78.5,7.07,-5.33,19.91,P,Normal,None
49.7,158.88,1.47,7.11,P,Normal,None
3.39,63.83,-16.04,12.21,D,Normal,None
54.25,319.47,16.34,13.54,D,Normal,None
17.33,148.97,-8.87,6.43,P,Normal,None
27.91,487.94,11.01,0.98,R,Normal,None
77.05,367.7,11.58,12.67,N,Normal,None
26.88,398.9,-22.75,14.77,P,Normal,None
32.94,411.69,24.1,29.82,R,Normal,None
35.22,126.79,-13.93,30.0,D,Normal,None
34.59,71.15,-16.74,16.45,P,Normal,None
9.12,11.31,10.48,1.86,N,Normal,None
34.74,90.2,-14.66,0.72,D,Normal,None
33.49,261.39,-28.14,12.7,P,Normal,None
56.49,430.49,-12.37,21.18,R,Normal,None
8.49,126.04,2.58,0.73,P,Normal,None
38.49,401.64,10.43,2.19,N,Normal,None
63.65,386.07,7.24,28.83,D,Normal,None
79.89,166.71,-0.78,5.19,R,Normal,None
98.71,293.1,11.13,12.72,P,Normal,None
53.42,199.38,-13.37,22.2,R,Normal,None
3.87,475.3,6.86,15.2,R,Normal,None
35.11,346.47,3.31,20.5,P,Normal,None
7.72,282.49,16.29,27.23,P,Normal,None
44.94,8.24,-14.24,16.99,P,Normal,None
70.24,262.23,-6.49,10.94,P,Normal,None
15.0,193.24,-27.0,7.4,D,Normal,None
84.85,419.54,27.25,23.29,N,Normal,None
69.62,180.53,-9.37,9.04,N,Normal,None
28.59,482.33,-20.4,14.47,R,Normal,None
89.47,79.26,5.81,10.33,D,Normal,None
45.63,76.92,-27.76,13.82,D,Normal,None
21.19,281.88,-9.53,16.84,N,Normal,None
56.88,223.75,-27.64,13.58,D,Normal,None
5.95,334.27,-15.59,21.11,P,Normal,None
62.82,387.35,20.28,2.8,P,Normal,None
99.08,341.26,28.05,15.75,R,Normal,None
89.8,152.12,-20.39,22.26,D,Normal,None
63.02,185.98,-9.0,2.01,R,Normal,None
42.17,242.64,23.32,19.59,N,Normal,None
28.23,118.92,7.88,22.37,P,Normal,None
41.16,402.72,15.44,21.19,P,Normal,None
93.37,379.18,20.26,8.19,P,Normal,None
87.97,442.29,22.07,7.9,D,Normal,None
64.99,376.99,18.48,18.7,R,Normal,None
59.39,307.97,28.1,27.51,P,Normal,None
54.76,483.54,-4.81,22.96,N,Normal,None
80.41,180.12,24.74,10.36,N,Normal,None
26.27,451.59,-1.2,1.91,N,Normal,None
22.02,297.64,-29.0,5.74,D,Normal,None
82.56,356.56,-24.69,2.15,N,Normal,None
86.47,80.53,-8.36,8.82,D,Normal,None
93.98,478.29,6.78,7.36,D,Normal,None
88.14,345.67,-28.93,20.47,P,Normal,None
65.09,263.09,-2.46,7.27,R,Normal,None
17.62,196.87,-6.43,25.08,D,Normal,None
83.75,383.32,9.76,13.91,R,Normal,None
49.69,347.51,25.85,23.58,R,Normal,None
35.48,309.1,-7.08,17.57,N,Normal,None
15.43,303.11,-11.49,14.84,R,Normal,None
45.71,116.37,24.14,12.26,D,Normal,None
61.47,202.81,-18.96,5.6,P,Normal,None
59.52,0.2,8.15,17.45,D,Normal,None
76.54,366.03,21.34,12.34,D,Normal,None
46.91,195.57,-21.55,24.14,D,Normal,None
97.27,115.78,-12.3,17.87,P,Normal,None
93.52,36.75,28.16,27.52,N,Normal,None
78.43,490.07,-26.27,21.06,D,Normal,None
11.83,362.62,-22.38,24.37,D,Normal,None
85.39,380.63,-17.99,25.91,D,Normal,None
49.2,418.47,10.03,9.66,R,Normal,None
22.4,421.36,26.94,12.16,R,Normal,None
87.63,404.11,18.28,21.54,P,Normal,None
11.91,284.9,-23.37,7.82,D,Normal,None
95.09,159.84,-8.88,15.07,P,Normal,None
98.0,194.18,-23.57,10.96,N,Normal,None
91.35,244.8,-4.89,16.49,R,Normal,None
76.53,490.14,-21.81,19.92,P,Normal,None
97.38,411.22,-9.6,13.84,R,Normal,None
64.95,329.36,28.34,20.73,D,Normal,None
20.84,240.33,-5.18,16.92,P,Normal,None
85.02,110.92,-21.69,20.32,N,Normal,None
57.18,233.46,-1.76,6.17,N,Normal,None
50.57,170.94,10.41,6.16,N,Normal,None
23.4,434.68,-17.58,4.21,P,Normal,None
58.98,351.43,23.78,8.06,P,Normal,None
32.6,174.21,-29.06,0.56,N,Normal,None
31.52,145.44,7.32,28.02,P,Normal,None
97.45,245.06,-28.8,21.39,D,Normal,None
35.69,275.96,20.37,13.5,P,Normal,None
27.15,238.52,-3.09,11.12,P,Normal,None
13.34,272.52,-19.24,8.21,P,Normal,None
46.53,89.72,2.33,23.38,P,Normal,None
77.07,423.33,-7.46,19.48,D,Normal,None
65.86,4.64,22.13,4.55,P,Normal,None
75.91,127.58,28.05,1.86,D,Normal,None
36.53,92.68,26.79,3.86,R,Normal,None
88.13,486.29,-7.34,0.55,P,Normal,None
10.39,455.69,18.76,7.57,N,Normal,None
34.16,493.33,0.99,16.59,R,Normal,None
90.86,84.72,25.45,24.34,N,Normal,None
56.61,206.12,7.29,28.49,R,Normal,None
66.32,345.76,10.38,2.2,R,Normal,None
67.87,473.75,4.65,9.77,P,Normal,None
29.4,360.5,13.85,22.46,N,Normal,None
63.84,456.67,14.29,13.59,P,Normal,None
48.16,379.04,-7.47,14.82,N,Normal,None
83.35,101.12,2.16,1.68,D,Normal,None
27.47,102.21,-4.18,22.77,P,Normal,None
47.52,46.84,-12.46,17.95,R,Normal,None
98.35,431.2,-26.11,24.03,R,Normal,None
29.09,307.2,29.51,15.78,P,Normal,None
70.62,451.38,-29.06,3.24,R,Normal,None
9.89,172.56,-13.36,16.45,R,Normal,None
23.36,165.8,27.27,14.29,R,Normal,None
37.32,207.06,3.65,16.63,R,Normal,None
74.87,249.69,-14.29,16.25,R,Normal,None
23.16,251.91,-10.96,28.99,N,Normal,None
11.58,79.36,2.74,18.61,N,Normal,None
85.71,223.24,-9.83,3.53,D,Normal,None
54.31,65.09,-2.71,3.91,D,Normal,None
18.57,48.93,12.74,20.78,D,Normal,None
89.88,61.91,-24.66,12.92,N,Normal,None
93.85,77.49,-14.58,4.17,P,Normal,None
6.35,41.62,-21.3,11.32,N,Normal,None
55.29,412.28,-12.04,15.24,D,Normal,None
22.46,13.05,23.99,21.14,D,Normal,None
68.59,495.36,-13.8,25.53,D,Normal,None
61.36,88.98,-22.93,3.25,N,Normal,None
98.37,305.23,20.74,26.0,P,Normal,None
85.7,213.8,0.35,1.68,D,Normal,None
49.88,123.97,8.46,10.4,N,Normal,None
49.34,412.59,1.11,3.34,D,Normal,None
89.13,258.82,27.86,20.85,R,Normal,None
3.84,16.03,-19.29,5.37,N,Normal,None
44.5,447.11,-13.24,12.5,D,Normal,None
7.52,136.02,5.95,2.9,N,Normal,None
91.02,63.16,4.88,25.4,P,Normal,None
61.03,88.7,14.78,26.84,P,Normal,None
89.68,252.52,11.44,15.99,N,Normal,None
61.6,53.87,-12.36,9.58,P,Normal,None
54.8,330.35,26.28,25.09,N,Normal,None
55.59,294.27,13.95,3.55,D,Normal,None
96.64,212.97,6.67,10.53,R,Normal,None
41.81,70.38,1.75,6.95,P,Normal,None
19.14,149.8,-21.79,2.36,P,Normal,None
47.62,346.45,-4.54,23.7,N,Normal,None
19.68,179.0,2.93,14.52,P,Normal,None
58.39,340.8,7.6,4.48,D,Normal,None
79.92,137.46,-27.84,11.46,R,Normal,None
82.87,292.09,-28.11,8.56,D,Normal,None
55.37,216.54,22.85,18.51,P,Normal,None
48.94,378.91,22.29,18.02,D,Normal,None
99.78,92.34,19.54,18.88,N,Normal,None
88.75,351.55,-18.61,16.94,P,Normal,None
53.52,253.22,28.04,22.75,N,Normal,None
95.48,107.64,-9.16,19.19,R,Normal,None
94.65,58.95,20.2,23.57,R,Normal,None
88.6,83.83,-25.89,7.64,R,Normal,None
16.5,368.38,-9.3,6.13,P,Normal,None
95.7,137.2,21.54,19.68,R,Normal,None
25.28,86.4,-2.14,25.8,N,Normal,None
15.28,217.89,-13.74,15.64,N,Normal,None
12.68,412.3,5.17,18.21,N,Normal,None
65.24,265.24,18.06,20.15,N,Normal,None
15.28,13.98,16.2,3.21,N,Normal,None
90.06,75.06,-0.53,11.29,N,Normal,None
8.65,233.04,26.41,11.32,D,Normal,None
96.5,221.73,13.31,13.12,N,Normal,None
83.25,327.87,-26.48,0.98,P,Normal,None
22.59,189.48,-5.2,13.76,D,Normal,None
4.83,394.94,7.83,28.74,P,Normal,None
81.69,457.5,-13.78,23.02,N,Normal,None
93.06,382.42,-27.63,11.51,R,Normal,None
5.9,434.17,5.45,21.34,R,Normal,None
53.07,236.38,2.77,20.39,N,Normal,None
77.72,290.7,-27.59,10.09,P,Normal,None
7.8,177.91,17.32,11.0,D,Normal,None
53.48,242.33,2.32,15.66,R,Normal,None
29.67,215.25,-27.16,28.1,N,Normal,None
43.0,459.02,20.7,21.1,R,Normal,None
37.46,254.42,6.62,5.93,P,Normal,None
20.85,445.76,-4.08,17.39,N,Normal,None
88.86,235.06,6.0,24.28,P,Normal,None
8.31,321.55,10.8,17.49,N,Normal,None
43.17,183.47,-19.49,6.9,D,Normal,None
7.38,377.17,-1.88,28.86,D,Normal,None
66.18,390.31,-15.72,21.15,P,Normal,None
43.45,403.7,3.13,27.86,P,Normal,None
24.67,228.43,6.63,20.22,P,Normal,None
95.12,300.19,8.63,23.6,D,Normal,None
86.41,105.68,7.19,1.09,N,Normal,None
54.19,171.76,-3.41,27.81,P,Normal,None
50.92,219.82,20.56,0.35,P,Normal,None
24.63,59.47,-25.95,13.7,R,Normal,None
45.07,374.53,-12.54,12.64,N,Normal,None
31.87,333.15,4.66,2.55,N,Normal,None
75.53,427.32,0.61,3.63,D,Normal,None
41.17,374.04,11.69,28.38,P,Normal,None
55.66,444.39,-5.13,21.36,D,Normal,None
32.14,25.27,-5.28,5.13,N,Normal,None
4.9,322.1,-7.34,20.63,P,Normal,None
64.52,156.21,18.25,19.93,N,Normal,None
81.08,42.86,-23.28,23.68,D,Normal,None
65.28,296.51,-2.77,15.07,P,Normal,None
94.6,295.67,-16.83,6.97,D,Normal,None
61.68,393.21,-13.52,2.7,D,Normal,None
36.83,141.62,5.25,0.5,P,Normal,None
93.78,55.84,-10.66,7.47,N,Normal,None
50.17,13.28,8.73,8.72,P,Normal,None
28.32,272.22,6.01,24.05,R,Normal,None
17.65,35.69,1.53,5.92,N,Normal,None
29.9,255.04,-15.72,20.77,P,Normal,None
47.17,176.61,21.38,4.75,D,Normal,None
75.11,165.83,9.01,14.12,D,Normal,None
46.62,139.19,-20.63,12.22,N,Normal,None
79.87,195.2,2.05,20.25,N,Normal,None
83.18,32.76,13.7,3.32,P,Normal,None
51.95,182.4,3.04,3.71,D,Normal,None
97.05,13.38,-18.5,10.59,P,Normal,None
4.45,339.6,23.04,3.74,R,Normal,None
66.82,433.4,-3.24,17.64,N,Normal,None
54.02,346.7,17.72,22.01,D,Normal,None
69.92,1.19,-18.73,6.66,P,Normal,None
93.51,108.03,4.68,16.91,D,Normal,None
8.24,409.16,-18.02,5.85,D,Normal,None
72.26,85.07,-5.36,26.52,P,Normal,None
44.87,188.32,8.41,8.47,R,Normal,None
13.04,14.96,23.54,10.06,N,Normal,None
61.69,162.03,-25.88,29.41,N,Normal,None
23.19,75.53,24.62,24.52,P,Normal,None
13.66,267.12,15.05,18.95,D,Normal,None
86.96,417.61,9.56,23.56,N,Normal,None
33.46,380.15,-13.48,9.84,P,Normal,None
87.07,427.16,-17.41,6.31,P,Normal,None
64.46,404.8,9.64,4.27,R,Normal,None
26.39,58.34,22.09,0.62,R,Normal,None
31.33,82.23,22.34,23.23,P,Normal,None
64.63,268.5,0.37,23.32,P,Normal,None
52.56,247.98,-18.7,3.82,N,Normal,None
62.18,7.12,-22.55,4.13,N,Normal,None
7.65,144.32,0.23,18.09,N,Normal,None
72.54,451.94,-0.67,5.06,N,Normal,None
23.25,156.71,9.46,23.71,P,Normal,None
81.62,157.63,4.23,11.11,R,Normal,None
81.31,120.44,6.94,28.18,D,Normal,None
36.67,207.27,7.76,4.04,P,Normal,None
95.41,495.67,-9.31,26.66,D,Normal,None
74.23,6.27,-3.4,12.05,N,Normal,None
58.61,420.4,-15.11,8.64,P,Normal,None
80.33,163.78,-28.66,26.79,N,Normal,None
27.81,143.82,1.68,12.76,P,Normal,None
50.27,309.66,13.55,8.96,P,Normal,None
4.45,258.02,20.92,10.4,R,Normal,None
48.34,438.84,21.62,12.16,D,Normal,None
31.61,410.38,0.84,3.34,R,Normal,None
25.89,330.63,12.25,15.1,R,Normal,None
16.23,179.88,21.03,22.67,P,Normal,None
50.4,126.65,-23.54,2.85,R,Normal,None
86.45,122.51,1.76,16.27,D,Normal,None
46.38,265.26,11.93,21.94,D,Normal,None
74.13,352.77,21.92,8.87,N,Normal,None
60.01,99.64,27.52,8.09,R,Normal,None
75.77,5.47,-4.1,4.34,N,Normal,None
5.35,48.1,-29.9,9.67,R,Normal,None
62.01,2.95,-28.19,22.4,R,Normal,None
13.96,298.66,1.09,1.12,D,Normal,None
6.72,342.87,11.55,15.41,P,Normal,None
74.77,429.49,-24.26,27.44,R,Normal,None
99.39,288.24,-26.39,5.33,R,Normal,None
8.56,430.56,10.62,6.39,N,Normal,None
89.4,240.41,-1.93,11.25,R,Normal,None
68.26,293.41,-23.94,27.67,N,Normal,None
95.67,447.08,-16.28,19.9,P,Normal,None
28.49,432.37,7.28,7.51,N,Normal,None
77.28,129.38,-24.32,16.93,N,Normal,None
3.97,212.96,-3.85,2.75,R,Normal,None
69.61,95.35,-10.2,13.57,D,Normal,None
70.2,140.33,-24.08,5.68,D,Normal,None
45.23,377.4,-29.56,11.06,P,Normal,None
